Country Name,Year,Period,Hierarchical Cluster,K-Means Cluster,OPTICS Cluster
Albania,2020,Early COVID,1,0,0
Algeria,2020,Early COVID,0,0,0
Argentina,2020,Early COVID,0,1,0
Armenia,2020,Early COVID,1,0,0
Australia,2020,Early COVID,0,1,0
Austria,2020,Early COVID,0,1,0
Azerbaijan,2020,Early COVID,1,0,0
Belarus,2020,Early COVID,0,1,0
Belgium,2020,Early COVID,0,1,0
Belize,2020,Early COVID,1,1,0
Benin,2020,Early COVID,1,0,0
Bhutan,2020,Early COVID,1,0,0
Bolivia,2020,Early COVID,1,1,0
Bosnia and Herzegovina,2020,Early COVID,0,1,0
Brazil,2020,Early COVID,0,1,0
Brunei Darussalam,2020,Early COVID,0,1,0
Burkina Faso,2020,Early COVID,1,0,0
Cabo Verde,2020,Early COVID,0,1,0
Cambodia,2020,Early COVID,0,0,0
Cameroon,2020,Early COVID,1,0,0
Chile,2020,Early COVID,0,1,0
China,2020,Early COVID,0,0,0
Colombia,2020,Early COVID,0,1,0
Costa Rica,2020,Early COVID,0,1,0
Cote d'Ivoire,2020,Early COVID,1,0,0
Croatia,2020,Early COVID,0,1,0
Cyprus,2020,Early COVID,0,1,0
Czechia,2020,Early COVID,0,1,0
Denmark,2020,Early COVID,0,1,0
Dominican Republic,2020,Early COVID,1,0,0
Ecuador,2020,Early COVID,1,1,0
"Egypt, Arab Rep.",2020,Early COVID,1,0,0
El Salvador,2020,Early COVID,1,1,0
Estonia,2020,Early COVID,0,1,0
Fiji,2020,Early COVID,1,0,0
Finland,2020,Early COVID,0,1,0
France,2020,Early COVID,0,1,0
"Gambia, The",2020,Early COVID,1,0,0
Georgia,2020,Early COVID,1,0,0
Germany,2020,Early COVID,0,1,0
Ghana,2020,Early COVID,1,0,0
Greece,2020,Early COVID,0,1,0
Guatemala,2020,Early COVID,1,0,0
Guinea,2020,Early COVID,1,0,0
Honduras,2020,Early COVID,1,0,0
Hungary,2020,Early COVID,0,1,0
Iceland,2020,Early COVID,0,1,0
India,2020,Early COVID,1,0,0
Indonesia,2020,Early COVID,0,0,0
Ireland,2020,Early COVID,0,1,0
Israel,2020,Early COVID,0,1,0
Italy,2020,Early COVID,0,1,0
Japan,2020,Early COVID,0,1,0
Jordan,2020,Early COVID,0,0,0
Kazakhstan,2020,Early COVID,0,1,0
"Korea, Rep.",2020,Early COVID,0,1,0
Kyrgyz Republic,2020,Early COVID,1,0,0
Latvia,2020,Early COVID,0,1,0
Lesotho,2020,Early COVID,0,1,0
Lithuania,2020,Early COVID,0,1,0
Luxembourg,2020,Early COVID,2,2,0
Madagascar,2020,Early COVID,1,0,0
Malaysia,2020,Early COVID,0,0,0
Malta,2020,Early COVID,2,2,0
Mauritius,2020,Early COVID,0,1,0
Mexico,2020,Early COVID,0,1,0
Moldova,2020,Early COVID,1,0,0
Mongolia,2020,Early COVID,1,0,0
Montenegro,2020,Early COVID,0,1,0
Morocco,2020,Early COVID,1,0,0
Mozambique,2020,Early COVID,1,0,0
Namibia,2020,Early COVID,0,1,0
Nepal,2020,Early COVID,1,0,0
Netherlands,2020,Early COVID,0,1,0
New Zealand,2020,Early COVID,0,1,0
Nicaragua,2020,Early COVID,1,0,0
Niger,2020,Early COVID,1,0,0
North Macedonia,2020,Early COVID,0,1,0
Norway,2020,Early COVID,0,1,0
Oman,2020,Early COVID,0,1,0
Panama,2020,Early COVID,0,1,0
Paraguay,2020,Early COVID,1,0,0
Peru,2020,Early COVID,1,1,0
Philippines,2020,Early COVID,1,0,0
Poland,2020,Early COVID,0,1,0
Portugal,2020,Early COVID,0,1,0
Qatar,2020,Early COVID,0,1,0
Romania,2020,Early COVID,0,1,0
Russian Federation,2020,Early COVID,0,1,0
Samoa,2020,Early COVID,1,1,0
Saudi Arabia,2020,Early COVID,0,1,0
Senegal,2020,Early COVID,1,0,0
Serbia,2020,Early COVID,0,1,0
Sierra Leone,2020,Early COVID,1,0,0
Singapore,2020,Early COVID,2,2,0
Slovak Republic,2020,Early COVID,0,1,0
Slovenia,2020,Early COVID,0,1,0
South Africa,2020,Early COVID,0,1,0
Spain,2020,Early COVID,0,1,0
Sri Lanka,2020,Early COVID,1,0,0
Sweden,2020,Early COVID,0,1,0
Switzerland,2020,Early COVID,0,1,0
Tanzania,2020,Early COVID,1,0,0
Thailand,2020,Early COVID,0,1,0
Timor-Leste,2020,Early COVID,1,0,0
Togo,2020,Early COVID,1,0,0
Tonga,2020,Early COVID,1,0,0
Turkiye,2020,Early COVID,0,1,0
Ukraine,2020,Early COVID,1,1,0
United Kingdom,2020,Early COVID,0,1,0
United States,2020,Early COVID,0,1,0
Uruguay,2020,Early COVID,0,1,0
Uzbekistan,2020,Early COVID,1,0,0
Viet Nam,2020,Early COVID,0,0,0
Zimbabwe,2020,Early COVID,1,0,0
