Period A,Period B,Adjusted Rand Index,Normalized Mutual Information,Pairwise Co-membership Jaccard,Same Numeric Label Share
Pre-COVID,Early COVID,0.4229570935077474,0.38983821809852215,0.5390434358223524,0.2
Pre-COVID,Mid-COVID,0.2349114405686403,0.389205953778792,0.3768920282542886,0.23478260869565218
Early COVID,Mid-COVID,0.22163154577590222,0.36823888413009254,0.37361008154188285,0.28695652173913044
