Country Name,Year,Period,PC1,PC2,Hierarchical Cluster,explained_variance_pc1,explained_variance_pc2
Albania,2019,Pre-COVID,2.0577848621320016,-0.28856254006531235,0,0.29043237373187875,0.14156282426463515
Algeria,2019,Pre-COVID,1.2319698949026148,-1.0543689178793914,0,0.29043237373187875,0.14156282426463515
Argentina,2019,Pre-COVID,-0.9356781486828571,-2.5984022100644473,1,0.29043237373187875,0.14156282426463515
Armenia,2019,Pre-COVID,2.2331467770062057,-0.12600796686077093,0,0.29043237373187875,0.14156282426463515
Australia,2019,Pre-COVID,-2.3015247915973527,-2.02636596205791,1,0.29043237373187875,0.14156282426463515
Austria,2019,Pre-COVID,-2.820483988817389,-0.7600815736832612,1,0.29043237373187875,0.14156282426463515
Azerbaijan,2019,Pre-COVID,2.836283573659895,0.5317102048921577,0,0.29043237373187875,0.14156282426463515
Belarus,2019,Pre-COVID,-1.2650450212282471,0.8403859864513346,1,0.29043237373187875,0.14156282426463515
Belgium,2019,Pre-COVID,-3.353303816920272,0.22686414235826197,1,0.29043237373187875,0.14156282426463515
Belize,2019,Pre-COVID,-0.40936475969009367,-0.14373650964554596,0,0.29043237373187875,0.14156282426463515
Benin,2019,Pre-COVID,4.505924722253496,1.0168146739648172,0,0.29043237373187875,0.14156282426463515
Bhutan,2019,Pre-COVID,1.5224433749338075,0.7268428762336696,0,0.29043237373187875,0.14156282426463515
Bolivia,2019,Pre-COVID,0.3580727121536308,-0.9354986142993839,1,0.29043237373187875,0.14156282426463515
Bosnia and Herzegovina,2019,Pre-COVID,-0.9651729398563755,-0.8909372031456513,0,0.29043237373187875,0.14156282426463515
Brazil,2019,Pre-COVID,0.0032151630536480665,-2.126698576289842,1,0.29043237373187875,0.14156282426463515
Brunei Darussalam,2019,Pre-COVID,-0.4973529997097683,0.794759407798946,1,0.29043237373187875,0.14156282426463515
Burkina Faso,2019,Pre-COVID,2.816397149486256,-0.04039282819469161,0,0.29043237373187875,0.14156282426463515
Cabo Verde,2019,Pre-COVID,-0.04762455972781384,0.28080169594534937,0,0.29043237373187875,0.14156282426463515
Cambodia,2019,Pre-COVID,2.543464602780362,1.916761969416372,0,0.29043237373187875,0.14156282426463515
