Year,Period,k,silhouette,davies_bouldin,calinski_harabasz
2019,Pre-COVID,2,0.21841797962976045,1.7216922833175203,29.448138852239843
2019,Pre-COVID,3,0.23532476275601835,1.4677294601835407,25.756381476338365
2019,Pre-COVID,4,0.15563586758376174,1.7375029453953963,22.093721157348913
2019,Pre-COVID,5,0.15625576657515458,1.4048199756591018,20.20453187308682
2019,Pre-COVID,6,0.14204455970939195,1.4900245578459181,18.743214970515595
2019,Pre-COVID,7,0.13400375127171935,1.5712057380548354,17.340070985788397
2019,Pre-COVID,8,0.12592767035475194,1.5340011756648808,16.991966954898444
2019,Pre-COVID,9,0.12743763855306037,1.6254065271524993,16.07826392668885
2019,Pre-COVID,10,0.13158441270624072,1.5338346794225453,15.759348159479428
2019,Pre-COVID,11,0.13005493667552379,1.4214107709187094,15.05179581559958
2019,Pre-COVID,12,0.13210549098200017,1.415951282917374,14.698169817908447
2020,Early COVID,2,0.2051075126288735,1.7590183852603987,29.33611411908554
2020,Early COVID,3,0.21928903514468712,1.457621097176071,25.846732798860536
2020,Early COVID,4,0.15066858060987487,1.6540216657813889,23.648931874595437
2020,Early COVID,5,0.13054164949484223,1.607059501616849,21.179535332539412
2020,Early COVID,6,0.14874450159248323,1.3212479779548258,19.77279692848013
2020,Early COVID,7,0.1441511666974571,1.4314438024960643,18.76654084385101
2020,Early COVID,8,0.13372837561809825,1.4925603970462475,17.84194839506612
2020,Early COVID,9,0.1265574743520281,1.547287470029128,16.77888614687742
2020,Early COVID,10,0.13604798133114937,1.3317276851591349,16.387226436989916
2020,Early COVID,11,0.1334546592297036,1.383630803926739,15.837396206658786
2020,Early COVID,12,0.13010038874725696,1.381471590560885,15.166643797438079
2021,Mid-COVID,2,0.22195828091218728,1.7477247531592832,28.60803662524528
2021,Mid-COVID,3,0.23395632359851545,1.5248448142728064,24.09058397286937
2021,Mid-COVID,4,0.13202323817245637,1.847303492355614,21.00594177214274
2021,Mid-COVID,5,0.12334915509413681,1.7190290658877607,18.897179866201824
2021,Mid-COVID,6,0.13666784093401782,1.5231516072838354,17.692126289694453
2021,Mid-COVID,7,0.12769915672984303,1.4235861674097787,16.980846796703627
2021,Mid-COVID,8,0.1222270601782538,1.4105863492203565,16.313058965927894
2021,Mid-COVID,9,0.12467052861427852,1.5109073543163718,15.502974555594134
2021,Mid-COVID,10,0.13315155861700656,1.4536256605862918,15.923763094686523
2021,Mid-COVID,11,0.14231462953016533,1.4029767969951406,15.344736143644157
2021,Mid-COVID,12,0.14489982911554186,1.4082808687353623,14.703269387298604
