Country Name,Year,Period,PC1,PC2,Hierarchical Cluster,explained_variance_pc1,explained_variance_pc2
Albania,2020,Early COVID,2.467332880483588,-0.4011401526296259,1,0.2934062967741782,0.14661133970818954
Algeria,2020,Early COVID,1.5513411854575994,-1.0330661863351396,0,0.2934062967741782,0.14661133970818954
Argentina,2020,Early COVID,-0.5985638221397913,-2.250294592800593,0,0.2934062967741782,0.14661133970818954
Armenia,2020,Early COVID,1.902670586078674,-1.3054471389919016,1,0.2934062967741782,0.14661133970818954
Australia,2020,Early COVID,-2.116124305588592,-1.4907487911422925,0,0.2934062967741782,0.14661133970818954
Austria,2020,Early COVID,-2.782259967453309,-0.40698427687917627,0,0.2934062967741782,0.14661133970818954
Azerbaijan,2020,Early COVID,2.1334183423633286,0.18621088122832605,1,0.2934062967741782,0.14661133970818954
Belarus,2020,Early COVID,-1.0097182265083975,1.548757339973658,0,0.2934062967741782,0.14661133970818954
Belgium,2020,Early COVID,-3.2855388467025506,0.25286817945999246,0,0.2934062967741782,0.14661133970818954
Belize,2020,Early COVID,-0.24322141568370126,-0.9552342566273484,1,0.2934062967741782,0.14661133970818954
Benin,2020,Early COVID,4.772383315203598,1.2490092371921395,1,0.2934062967741782,0.14661133970818954
Bhutan,2020,Early COVID,1.1435077178910418,0.3619099093063777,1,0.2934062967741782,0.14661133970818954
Bolivia,2020,Early COVID,0.22698617679302083,-1.2321503886506793,1,0.2934062967741782,0.14661133970818954
Bosnia and Herzegovina,2020,Early COVID,-0.9624088355469362,-1.0900547838845873,0,0.2934062967741782,0.14661133970818954
Brazil,2020,Early COVID,0.22804127849225486,-1.947822593085358,0,0.2934062967741782,0.14661133970818954
Brunei Darussalam,2020,Early COVID,-0.5572486385801144,1.657985904932378,0,0.2934062967741782,0.14661133970818954
Burkina Faso,2020,Early COVID,2.614759028149479,0.02089181634561437,1,0.2934062967741782,0.14661133970818954
Cabo Verde,2020,Early COVID,-0.3902794189512864,-1.4354208799393502,0,0.2934062967741782,0.14661133970818954
Cambodia,2020,Early COVID,2.4660274931468016,2.516756651275518,0,0.2934062967741782,0.14661133970818954
Cameroon,2020,Early COVID,3.913649867805499,0.20669021702124596,1,0.2934062967741782,0.14661133970818954
