Country Name,Year,Period,PC1,PC2,Hierarchical Cluster,explained_variance_pc1,explained_variance_pc2
Albania,2021,Mid-COVID,2.2781269528770167,-0.04841567655634228,3,0.2916117256109569,0.12724283061301148
Algeria,2021,Mid-COVID,1.8891870904594965,-0.9467110602021972,0,0.2916117256109569,0.12724283061301148
Argentina,2021,Mid-COVID,-0.35711635299920425,-1.674154999445531,0,0.2916117256109569,0.12724283061301148
Armenia,2021,Mid-COVID,2.075769429289913,-0.5182684844560603,3,0.2916117256109569,0.12724283061301148
Australia,2021,Mid-COVID,-2.0093526596145583,-2.098152849827637,2,0.2916117256109569,0.12724283061301148
Austria,2021,Mid-COVID,-2.936768009341659,-0.6734292361376372,2,0.2916117256109569,0.12724283061301148
Azerbaijan,2021,Mid-COVID,2.7502929279717994,0.3148095493899003,3,0.2916117256109569,0.12724283061301148
Belarus,2021,Mid-COVID,-1.3395993382456928,1.2030685604440399,0,0.2916117256109569,0.12724283061301148
Belgium,2021,Mid-COVID,-3.3456284839427757,0.3430757561828004,2,0.2916117256109569,0.12724283061301148
Belize,2021,Mid-COVID,-0.2100068898921007,-0.18381048628983387,0,0.2916117256109569,0.12724283061301148
Benin,2021,Mid-COVID,4.648330633020921,1.0942293985179798,3,0.2916117256109569,0.12724283061301148
Bhutan,2021,Mid-COVID,1.967374481632825,0.7817565077607156,3,0.2916117256109569,0.12724283061301148
Bolivia,2021,Mid-COVID,0.18939174874871578,-0.8542053243609571,0,0.2916117256109569,0.12724283061301148
Bosnia and Herzegovina,2021,Mid-COVID,-0.9032085386662061,-0.8520495505014786,0,0.2916117256109569,0.12724283061301148
Brazil,2021,Mid-COVID,0.4684152713045908,-1.6368014416101653,0,0.2916117256109569,0.12724283061301148
Brunei Darussalam,2021,Mid-COVID,-0.6656928943468658,1.4934049362126198,0,0.2916117256109569,0.12724283061301148
Burkina Faso,2021,Mid-COVID,2.526391077185033,-0.29848944318461634,3,0.2916117256109569,0.12724283061301148
Cabo Verde,2021,Mid-COVID,-0.3035213259313993,-1.0919743962495632,0,0.2916117256109569,0.12724283061301148
Cambodia,2021,Mid-COVID,2.144652268128389,2.727728332306133,3,0.2916117256109569,0.12724283061301148
Cameroon,2021,Mid-COVID,3.960308614796367,0.24230729089748745,3,0.2916117256109569,0.12724283061301148
Chile,2021,Mid-COVID,-0.32654128582225356,-1.0857178788223376,0,0.2916117256109569,0.12724283061301148
China,2021,Mid-COVID,1.1287722182227493,0.7613258553884059,0,0.2916117256109569,0.12724283061301148
Colombia,2021,Mid-COVID,-0.48960548070737087,-1.9365264386000913,0,0.2916117256109569,0.12724283061301148
Costa Rica,2021,Mid-COVID,-1.0909267496152883,-1.2741562237554438,2,0.2916117256109569,0.12724283061301148
Cote d'Ivoire,2021,Mid-COVID,2.9705600743023686,0.5711506645899721,3,0.2916117256109569,0.12724283061301148
Croatia,2021,Mid-COVID,-2.0282612933354547,-0.5799016362466626,2,0.2916117256109569,0.12724283061301148
Cyprus,2021,Mid-COVID,-3.8778300801078807,0.18235546675922115,2,0.2916117256109569,0.12724283061301148
Czechia,2021,Mid-COVID,-2.8530058650879404,0.41243415459965094,2,0.2916117256109569,0.12724283061301148
Denmark,2021,Mid-COVID,-3.413280983340348,-0.7388369640336703,2,0.2916117256109569,0.12724283061301148
Dominican Republic,2021,Mid-COVID,0.6226250152431313,-0.04187637545704015,0,0.2916117256109569,0.12724283061301148
Ecuador,2021,Mid-COVID,0.11244825431059684,-0.8177710946675162,0,0.2916117256109569,0.12724283061301148
"Egypt, Arab Rep.",2021,Mid-COVID,2.623116678323258,-0.7065268182571132,0,0.2916117256109569,0.12724283061301148
El Salvador,2021,Mid-COVID,-0.5090596525115998,-0.4385152769031632,0,0.2916117256109569,0.12724283061301148
Estonia,2021,Mid-COVID,-2.36132038821279,1.054346302368321,2,0.2916117256109569,0.12724283061301148
Fiji,2021,Mid-COVID,1.2390909194875732,-0.09701573935333495,0,0.2916117256109569,0.12724283061301148
Finland,2021,Mid-COVID,-2.4687487817457625,-1.1257120074394893,2,0.2916117256109569,0.12724283061301148
France,2021,Mid-COVID,-2.7220427496776898,-2.0230350005125426,2,0.2916117256109569,0.12724283061301148
"Gambia, The",2021,Mid-COVID,3.6523760964303045,-0.20941805410185285,0,0.2916117256109569,0.12724283061301148
Georgia,2021,Mid-COVID,0.30831540531462276,-0.39739537936041514,0,0.2916117256109569,0.12724283061301148
Germany,2021,Mid-COVID,-3.1767154020861015,-1.2330681181723884,2,0.2916117256109569,0.12724283061301148
Ghana,2021,Mid-COVID,2.414444759528629,0.2502925735035625,3,0.2916117256109569,0.12724283061301148
Greece,2021,Mid-COVID,-1.0767528366417498,-1.2320131058301518,2,0.2916117256109569,0.12724283061301148
Guatemala,2021,Mid-COVID,2.037105753523281,-0.2707374246163222,0,0.2916117256109569,0.12724283061301148
Guinea,2021,Mid-COVID,4.347081054241496,1.4243978243758202,3,0.2916117256109569,0.12724283061301148
Honduras,2021,Mid-COVID,1.1471749140705212,0.3822284189703929,0,0.2916117256109569,0.12724283061301148
Hungary,2021,Mid-COVID,-1.7992125714056513,1.428630789258896,2,0.2916117256109569,0.12724283061301148
Iceland,2021,Mid-COVID,-2.576939797207345,-1.2507083485864896,2,0.2916117256109569,0.12724283061301148
India,2021,Mid-COVID,3.7336121977369072,0.749978015742114,3,0.2916117256109569,0.12724283061301148
Indonesia,2021,Mid-COVID,2.113108349980573,0.4574063005565194,0,0.2916117256109569,0.12724283061301148
Ireland,2021,Mid-COVID,-2.894038250405022,2.8967232041128192,2,0.2916117256109569,0.12724283061301148
Israel,2021,Mid-COVID,-1.563703603101031,-0.7706495004839813,2,0.2916117256109569,0.12724283061301148
Italy,2021,Mid-COVID,-1.7103836950278517,-1.3980897227832354,2,0.2916117256109569,0.12724283061301148
Japan,2021,Mid-COVID,-2.821684285014376,-1.4639820673848478,2,0.2916117256109569,0.12724283061301148
Jordan,2021,Mid-COVID,1.1672371654395999,-0.7705286196059593,0,0.2916117256109569,0.12724283061301148
Kazakhstan,2021,Mid-COVID,0.2564498322503745,0.07499905216277732,0,0.2916117256109569,0.12724283061301148
