Country Name,Country Code,Year,"Agriculture, forestry, and fishing, value added (% of GDP)",Current health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of current health expenditure),Domestic private health expenditure (% of current health expenditure),Exports of goods and services (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),Gross capital formation (% of GDP),Imports of goods and services (% of GDP),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Manufacturing, value added (% of GDP)","Personal remittances, received (% of GDP)",Population density (people per sq. km of land area),"School enrollment, primary (% gross)","Self-employed, total (% of total employment) (modeled ILO estimate)","Services, value added (% of GDP)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
Albania,ALB,2019,18.160404924310782,6.86214113,2.92877913,42.68024826,56.65520096,30.93613535222883,7.7062178558714916,2.0625675399998897,25.28753548718385,44.44602493264563,69.661,6.967488758479716,9.450127087527587,104.16755474452556,102.5895386,54.26824023,45.4534298741692,11.466
Albania,ALB,2020,18.80613786457617,7.51920271,2.99610233,39.84601212,59.47789383,22.540758557114085,7.018651544850771,-3.313716147,26.21835387402893,36.97994088320009,67.153,7.069412464972691,9.618418007295436,103.57113138686132,100.0209732,53.70566179,45.721349736043024,11.69
Albania,ALB,2021,17.793204270708944,7.26731825,2.88419509,39.68720245,59.76841354,31.13302001442644,6.757906712970373,8.969553391789347,28.794431389839463,44.45729607932894,68.57,6.918288904923353,9.529474887152476,102.61554744525549,97.10749817,52.1134657,45.24384275870852,11.474
Algeria,DZA,2019,11.479179885716384,5.86751413,3.68985248,62.88612747,37.06654358,20.407941949490993,0.7139473080156913,0.8999999999999488,44.62956178750035,26.098900658676257,45.685,6.403969944000673,0.9231064832450429,18.17768850601304,107.7751312,31.86334529,50.48006940117493,12.259
Algeria,DZA,2020,12.834169388718584,6.14268684,3.74658775,60.99265671,38.9657402,15.535201111619088,0.6938160147728425,-5.0,42.94935768250155,24.85455545091973,42.922,6.282395033155483,1.0308568736038115,18.491553447667066,110.3305664,32.17243199,52.8041887,14.057
Algeria,DZA,2021,11.235434560508908,5.5283432,3.2677834,59.1096344,40.25862885,23.44436729059508,0.4667284796829414,3.7999999999999545,39.14580511128482,23.392691969365657,43.326,8.189556433,0.9621892883220894,18.793436817857188,106.9955673,32.11024138,48.487958155314274,13.63
Argentina,ARG,2019,5.318555996734804,10.04194355,6.08225393,60.5684967,39.20406342,17.924878377846202,1.4850068757069668,-2.000861003,14.21003039921914,14.705736668003688,68.122,13.54083907028294,0.1253808090150973,16.433525536323078,111.3653183,26.50717901,55.43881710936691,9.843
Argentina,ARG,2020,6.3570336757552655,10.34701538,6.62048721,63.98451233,35.73628998,16.605414437248417,1.266169243087211,-9.900484814,14.415155741024478,13.598284370167535,63.716,14.590529508918255,0.1680119240387533,16.513366512100383,110.6178131,26.99998573,54.85786745579619,11.461
Argentina,ARG,2021,7.291282496220415,9.70880699,6.1366396,63.20693588,35.5334816,18.06670916903649,1.3683808316243822,10.441811988250564,18.076289247142128,15.011980398429506,68.759,15.558416982667955,0.1855437852810811,16.55733057087211,110.1561127,27.58893332,52.83403194972072,8.736
Armenia,ARM,2019,11.525610737958814,11.38,1.41,12.41,86.6,41.35080136208493,0.7363615168443526,7.599999998539175,17.40852941085673,54.76335276678582,73.142,11.711491860296402,11.218921077229837,104.05690200210748,97.32314301,60.86786909,53.97318530169187,18.304
Armenia,ARM,2020,11.349805155454892,12.24,2.36,19.25,79.64,29.764986915193393,0.4634088507636337,-7.199999999,19.66383294359895,39.72382062441424,72.624,12.344909801717032,10.497055254126495,104.02177730944854,96.62056732,61.13401485,53.24120279733945,18.175
Armenia,ARM,2021,11.34354842,12.34,2.19,17.76,81.35,35.906439990126685,2.6403028121134486,5.800000000656453,22.963876226158103,43.763448832713195,73.644,11.031590563418648,11.217182745210694,104.04987706357568,93.80999756,62.73168972,53.07837013927988,15.469
Australia,AUS,2019,2.1157807221107583,10.21965981,7.53585672,73.73882294,26.26117706,24.159677998314606,2.7819678747213157,2.171545057371759,23.39128822755799,22.027823895314533,78.518,5.586295825183239,0.1265610274676725,3.2936505625310386,100.1996994,13.62754331,66.01291313852533,5.159
Australia,AUS,2020,2.012249307778366,10.6837368,7.87186623,73.68083191,26.31917,24.02673915796985,1.3532560550628716,-0.119590736,22.427728629943637,20.637716907466103,77.886,5.608521731495214,0.09012882,3.334526951307979,99.90110779,13.57565985,66.25051787311969,6.456
Australia,AUS,2021,2.3038399249792167,10.54363918,8.01731968,76.03939819,23.96060181,22.056675977144742,2.024681946112203,2.111168147687863,22.93724009047752,18.24580429202492,79.132,5.512694755353046,0.060152987,3.339228447143923,99.92915344,13.48072476,65.72636591233577,5.116
Austria,AUT,2019,1.0446341365349905,10.49,7.85,74.88,25.12,55.89580739293392,-2.852556176,1.7549764558532956,25.50900809708158,52.31147751149165,76.889,17.102285866880674,0.6763361879132875,107.60930683470674,101.7762909,16.13028542,62.56140778182794,4.56
Austria,AUT,2020,1.0713811327287088,11.39,8.74,76.74,23.26,51.66308997006159,-2.763320707,-6.318255287,25.65307375412661,48.28512413953592,76.493,16.59732646962937,0.6967743456096702,108.05700436257877,101.5608521,16.22329642,62.81236202413718,5.201
Austria,AUT,2021,1.2159384838711305,12.1,9.47,78.25,21.75,55.953359703285265,3.9540932379632534,4.795329105514583,27.67324368565845,55.07890903461525,77.14,16.978096539420385,0.664273814,108.52880513814831,101.6441193,16.21601454,62.29993184388321,6.459
Azerbaijan,AZE,2019,5.695258143845502,4.18,1.07,25.57,74.14,49.050627501642325,3.1218305611249364,2.500000067437341,20.307779848149245,36.767517906813744,70.815,5.003650963048346,2.6469932465702586,121.28007113993272,97.93534851,68.67428873,36.49107040375499,5.0
Azerbaijan,AZE,2020,6.738947423534096,5.85,2.33,39.81,59.95,35.623555866025704,1.1879038718291055,-4.300000102,23.66595433,36.39431178275541,73.286,6.1015650726596595,3.286456796196098,122.12473682936864,98.23606873,68.35657014,42.354236332998525,7.24
Azerbaijan,AZE,2021,5.725983657213487,4.7,1.49,31.62,68.02,46.488747167479225,-3.114734473,5.616451028530278,17.07859815971984,29.79811851953581,67.952,6.419092906681316,2.784540874133077,122.65880217785843,97.73049927,67.9630312,37.70117335027123,6.04
Belarus,BLR,2019,6.794970756761572,5.86,4.13,70.38,29.48,65.09440964284654,1.9768631757117836,1.4464554769182598,29.14971944304248,65.75572247127631,78.36,21.63999643737197,2.202759344773328,46.41075062202843,95.65020752,4.271657421,48.42650595255767,4.165
Belarus,BLR,2020,7.077163524154928,6.41,4.54,70.88,28.82,61.012149264298266,2.270099645340333,-0.672742951,27.4550664235478,57.92173442603242,78.521,21.48663180181805,1.651737016,46.21121292738201,94.41906738,4.428597728,49.01182866798913,4.049
Belarus,BLR,2021,6.706844792202579,6.57,4.87,74.23,25.57,70.83203772070172,1.766406878520025,2.4388621239681925,24.380508709343676,65.18241283589347,78.887,22.75849592,1.650493509274727,45.83683173195368,94.52954865,4.673422481,48.69656657941304,3.9
Belgium,BEL,2019,0.7187895835371281,10.79477787,8.12080002,75.22897339,24.77102661,82.96742753964011,-1.972529978,2.442890066486086,24.675682231680845,82.49805139234978,69.018,12.413251241174953,2.3158327573573967,376.761985964452,102.1485596,14.78397315,69.53533138010228,5.364
